"","行政區","主治科別","count"
"1","臺南市七股區","中醫兒科",0
"2","臺南市七股區","中醫內科",0
"3","臺南市七股區","中醫外科",0
"4","臺南市七股區","中醫婦科",0
"5","臺南市七股區","中醫眼科",0
"6","臺南市七股區","傷科",0
"7","臺南市七股區","內科",0
"8","臺南市七股區","其他",0
"9","臺南市七股區","口腔病理科",0
"10","臺南市七股區","口腔顏面外科",0
"11","臺南市七股區","外科",0
"12","臺南市七股區","婦產科",0
"13","臺南市七股區","急診學學科",0
"14","臺南市七股區","放射線核醫科.停發.",0
"15","臺南市七股區","放射腫瘤科",0
"16","臺南市七股區","放射診斷科",0
"17","臺南市七股區","整形外科",0
"18","臺南市七股區","核子醫學科",0
"19","臺南市七股區","泌尿科",0
"20","臺南市七股區","痔科",0
"21","臺南市七股區","皮膚科",0
"22","臺南市七股區","眼科",0
"23","臺南市七股區","神經外科",0
"24","臺南市七股區","神經科",0
"25","臺南市七股區","精神科",0
"26","臺南市七股區","耳鼻喉科",0
"27","臺南市七股區","職業醫學科",0
"28","臺南市七股區","臨床病理科",0
"29","臺南市七股區","解剖病理科",0
"30","臺南市七股區","針灸科",0
"31","臺南市七股區","骨科",0
"32","臺南市七股區","麻醉科",0
"33","臺南市七股區","齒顎矯正科",0
"34","臺南市下營區","中醫兒科",0
"35","臺南市下營區","中醫內科",0
"36","臺南市下營區","中醫外科",0
"37","臺南市下營區","中醫婦科",0
"38","臺南市下營區","中醫眼科",0
"39","臺南市下營區","傷科",0
"40","臺南市下營區","其他",0
"41","臺南市下營區","口腔病理科",0
"42","臺南市下營區","口腔顏面外科",0
"43","臺南市下營區","婦產科",0
"44","臺南市下營區","復健科",0
"45","臺南市下營區","急診學學科",0
"46","臺南市下營區","放射線核醫科.停發.",0
"47","臺南市下營區","放射腫瘤科",0
"48","臺南市下營區","放射診斷科",0
"49","臺南市下營區","整形外科",0
"50","臺南市下營區","核子醫學科",0
"51","臺南市下營區","泌尿科",0
"52","臺南市下營區","痔科",0
"53","臺南市下營區","皮膚科",0
"54","臺南市下營區","眼科",0
"55","臺南市下營區","神經外科",0
"56","臺南市下營區","神經科",0
"57","臺南市下營區","精神科",0
"58","臺南市下營區","耳鼻喉科",0
"59","臺南市下營區","職業醫學科",0
"60","臺南市下營區","臨床病理科",0
"61","臺南市下營區","解剖病理科",0
"62","臺南市下營區","針灸科",0
"63","臺南市下營區","骨科",0
"64","臺南市下營區","麻醉科",0
"65","臺南市下營區","齒顎矯正科",0
"66","臺南市中西區","其他",0
"67","臺南市中西區","口腔病理科",0
"68","臺南市中西區","口腔顏面外科",0
"69","臺南市中西區","放射線核醫科.停發.",0
"70","臺南市中西區","核子醫學科",0
"71","臺南市中西區","臨床病理科",0
"72","臺南市中西區","齒顎矯正科",0
"73","臺南市仁德區","中醫兒科",0
"74","臺南市仁德區","中醫內科",0
"75","臺南市仁德區","中醫外科",0
"76","臺南市仁德區","中醫婦科",0
"77","臺南市仁德區","中醫眼科",0
"78","臺南市仁德區","傷科",0
"79","臺南市仁德區","其他",0
"80","臺南市仁德區","口腔病理科",0
"81","臺南市仁德區","口腔顏面外科",0
"82","臺南市仁德區","急診學學科",0
"83","臺南市仁德區","放射線核醫科.停發.",0
"84","臺南市仁德區","放射腫瘤科",0
"85","臺南市仁德區","整形外科",0
"86","臺南市仁德區","核子醫學科",0
"87","臺南市仁德區","痔科",0
"88","臺南市仁德區","皮膚科",0
"89","臺南市仁德區","神經外科",0
"90","臺南市仁德區","職業醫學科",0
"91","臺南市仁德區","臨床病理科",0
"92","臺南市仁德區","解剖病理科",0
"93","臺南市仁德區","針灸科",0
"94","臺南市仁德區","麻醉科",0
