"","行政區","主治科別","count"
"1","臺南市七股區","中醫",1
"2","臺南市七股區","中醫一般科",1
"3","臺南市七股區","中醫兒科",0
"4","臺南市七股區","中醫內科",0
"5","臺南市七股區","中醫外科",0
"6","臺南市七股區","中醫婦科",0
"7","臺南市七股區","中醫眼科",0
"8","臺南市七股區","傷科",0
"9","臺南市七股區","兒科",1
"10","臺南市七股區","內科",0
"11","臺南市七股區","其他",0
"12","臺南市七股區","口腔病理科",0
"13","臺南市七股區","口腔顏面外科",0
"14","臺南市七股區","外科",0
"15","臺南市七股區","婦產科",0
"16","臺南市七股區","家庭醫學科",1
"17","臺南市七股區","復健科",1
"18","臺南市七股區","急診學學科",0
"19","臺南市七股區","放射線核醫科.停發.",0
"20","臺南市七股區","放射腫瘤科",0
"21","臺南市七股區","放射診斷科",0
"22","臺南市七股區","整形外科",0
"23","臺南市七股區","核子醫學科",0
"24","臺南市七股區","泌尿科",0
"25","臺南市七股區","牙科",1
"26","臺南市七股區","牙科一般科",1
"27","臺南市七股區","痔科",0
"28","臺南市七股區","皮膚科",0
"29","臺南市七股區","眼科",0
"30","臺南市七股區","神經外科",0
"31","臺南市七股區","神經科",0
"32","臺南市七股區","精神科",0
"33","臺南市七股區","耳鼻喉科",0
"34","臺南市七股區","職業醫學科",0
"35","臺南市七股區","臨床病理科",0
"36","臺南市七股區","西醫一般科",2
"37","臺南市七股區","解剖病理科",0
"38","臺南市七股區","針灸科",0
"39","臺南市七股區","骨科",0
"40","臺南市七股區","麻醉科",0
"41","臺南市七股區","齒顎矯正科",0
"42","臺南市下營區","中醫",3
"43","臺南市下營區","中醫一般科",3
"44","臺南市下營區","中醫兒科",0
"45","臺南市下營區","中醫內科",0
"46","臺南市下營區","中醫外科",0
"47","臺南市下營區","中醫婦科",0
"48","臺南市下營區","中醫眼科",0
"49","臺南市下營區","傷科",0
"50","臺南市下營區","兒科",1
"51","臺南市下營區","內科",2
"52","臺南市下營區","其他",0
"53","臺南市下營區","口腔病理科",0
"54","臺南市下營區","口腔顏面外科",0
"55","臺南市下營區","外科",1
"56","臺南市下營區","婦產科",0
"57","臺南市下營區","家庭醫學科",2
"58","臺南市下營區","復健科",0
"59","臺南市下營區","急診學學科",0
"60","臺南市下營區","放射線核醫科.停發.",0
"61","臺南市下營區","放射腫瘤科",0
"62","臺南市下營區","放射診斷科",0
"63","臺南市下營區","整形外科",0
"64","臺南市下營區","核子醫學科",0
"65","臺南市下營區","泌尿科",0
"66","臺南市下營區","牙科",2
"67","臺南市下營區","牙科一般科",2
"68","臺南市下營區","痔科",0
"69","臺南市下營區","皮膚科",0
"70","臺南市下營區","眼科",0
"71","臺南市下營區","神經外科",0
"72","臺南市下營區","神經科",0
"73","臺南市下營區","精神科",0
"74","臺南市下營區","耳鼻喉科",0
"75","臺南市下營區","職業醫學科",0
"76","臺南市下營區","臨床病理科",0
"77","臺南市下營區","西醫一般科",4
"78","臺南市下營區","解剖病理科",0
"79","臺南市下營區","針灸科",0
"80","臺南市下營區","骨科",0
"81","臺南市下營區","麻醉科",0
"82","臺南市下營區","齒顎矯正科",0
"83","臺南市中西區","中醫",33
"84","臺南市中西區","中醫一般科",30
"85","臺南市中西區","中醫兒科",3
"86","臺南市中西區","中醫內科",4
"87","臺南市中西區","中醫外科",3
"88","臺南市中西區","中醫婦科",3
"89","臺南市中西區","中醫眼科",3
"90","臺南市中西區","傷科",6
"91","臺南市中西區","兒科",19
"92","臺南市中西區","內科",23
"93","臺南市中西區","其他",0
"94","臺南市中西區","口腔病理科",0
"95","臺南市中西區","口腔顏面外科",0
"96","臺南市中西區","外科",15
"97","臺南市中西區","婦產科",14
"98","臺南市中西區","家庭醫學科",11
"99","臺南市中西區","復健科",9
"100","臺南市中西區","急診學學科",2
"101","臺南市中西區","放射線核醫科.停發.",0
"102","臺南市中西區","放射腫瘤科",1
"103","臺南市中西區","放射診斷科",3
"104","臺南市中西區","整形外科",7
"105","臺南市中西區","核子醫學科",0
"106","臺南市中西區","泌尿科",3
"107","臺南市中西區","牙科",65
"108","臺南市中西區","牙科一般科",65
"109","臺南市中西區","痔科",3
"110","臺南市中西區","皮膚科",4
"111","臺南市中西區","眼科",10
"112","臺南市中西區","神經外科",2
"113","臺南市中西區","神經科",2
"114","臺南市中西區","精神科",5
"115","臺南市中西區","耳鼻喉科",10
"116","臺南市中西區","職業醫學科",1
"117","臺南市中西區","臨床病理科",0
"118","臺南市中西區","西醫一般科",18
"119","臺南市中西區","解剖病理科",2
"120","臺南市中西區","針灸科",3
"121","臺南市中西區","骨科",10
"122","臺南市中西區","麻醉科",3
"123","臺南市中西區","齒顎矯正科",0
"124","臺南市仁德區","中醫",10
"125","臺南市仁德區","中醫一般科",10
"126","臺南市仁德區","中醫兒科",0
"127","臺南市仁德區","中醫內科",0
"128","臺南市仁德區","中醫外科",0
"129","臺南市仁德區","中醫婦科",0
"130","臺南市仁德區","中醫眼科",0
"131","臺南市仁德區","傷科",0
"132","臺南市仁德區","兒科",2
"133","臺南市仁德區","內科",4
"134","臺南市仁德區","其他",0
"135","臺南市仁德區","口腔病理科",0
"136","臺南市仁德區","口腔顏面外科",0
"137","臺南市仁德區","外科",4
"138","臺南市仁德區","婦產科",1
"139","臺南市仁德區","家庭醫學科",8
"140","臺南市仁德區","復健科",1
"141","臺南市仁德區","急診學學科",0
"142","臺南市仁德區","放射線核醫科.停發.",0
"143","臺南市仁德區","放射腫瘤科",0
"144","臺南市仁德區","放射診斷科",1
"145","臺南市仁德區","整形外科",0
"146","臺南市仁德區","核子醫學科",0
"147","臺南市仁德區","泌尿科",1
"148","臺南市仁德區","牙科",12
"149","臺南市仁德區","牙科一般科",12
"150","臺南市仁德區","痔科",0
"151","臺南市仁德區","皮膚科",0
"152","臺南市仁德區","眼科",2
"153","臺南市仁德區","神經外科",0
"154","臺南市仁德區","神經科",2
"155","臺南市仁德區","精神科",1
"156","臺南市仁德區","耳鼻喉科",4
"157","臺南市仁德區","職業醫學科",0
"158","臺南市仁德區","臨床病理科",0
"159","臺南市仁德區","西醫一般科",5
"160","臺南市仁德區","解剖病理科",0
"161","臺南市仁德區","針灸科",0
"162","臺南市仁德區","骨科",3
"163","臺南市仁德區","麻醉科",0
"164","臺南市仁德區","齒顎矯正科",0
"165","臺南市佳里區","中醫",8
"166","臺南市佳里區","中醫一般科",8
"167","臺南市佳里區","中醫兒科",0
"168","臺南市佳里區","中醫內科",0
"169","臺南市佳里區","中醫外科",0
"170","臺南市佳里區","中醫婦科",0
"171","臺南市佳里區","中醫眼科",0
"172","臺南市佳里區","傷科",0
"173","臺南市佳里區","兒科",8
"174","臺南市佳里區","內科",10
"175","臺南市佳里區","其他",0
"176","臺南市佳里區","口腔病理科",0
"177","臺南市佳里區","口腔顏面外科",0
"178","臺南市佳里區","外科",4
"179","臺南市佳里區","婦產科",6
"180","臺南市佳里區","家庭醫學科",3
"181","臺南市佳里區","復健科",3
"182","臺南市佳里區","急診學學科",1
"183","臺南市佳里區","放射線核醫科.停發.",0
"184","臺南市佳里區","放射腫瘤科",0
"185","臺南市佳里區","放射診斷科",1
"186","臺南市佳里區","整形外科",1
"187","臺南市佳里區","核子醫學科",0
"188","臺南市佳里區","泌尿科",1
"189","臺南市佳里區","牙科",16
"190","臺南市佳里區","牙科一般科",16
"191","臺南市佳里區","痔科",0
"192","臺南市佳里區","皮膚科",2
"193","臺南市佳里區","眼科",5
"194","臺南市佳里區","神經外科",1
"195","臺南市佳里區","神經科",1
"196","臺南市佳里區","精神科",2
"197","臺南市佳里區","耳鼻喉科",3
"198","臺南市佳里區","職業醫學科",0
"199","臺南市佳里區","臨床病理科",0
"200","臺南市佳里區","西醫一般科",7
"201","臺南市佳里區","解剖病理科",0
"202","臺南市佳里區","針灸科",0
"203","臺南市佳里區","骨科",3
"204","臺南市佳里區","麻醉科",1
"205","臺南市佳里區","齒顎矯正科",0
"206","臺南市六甲區","中醫",1
"207","臺南市六甲區","中醫一般科",1
"208","臺南市六甲區","中醫兒科",0
"209","臺南市六甲區","中醫內科",0
"210","臺南市六甲區","中醫外科",0
"211","臺南市六甲區","中醫婦科",0
"212","臺南市六甲區","中醫眼科",0
"213","臺南市六甲區","傷科",0
"214","臺南市六甲區","兒科",1
"215","臺南市六甲區","內科",2
"216","臺南市六甲區","其他",0
"217","臺南市六甲區","口腔病理科",0
"218","臺南市六甲區","口腔顏面外科",0
"219","臺南市六甲區","外科",0
"220","臺南市六甲區","婦產科",1
"221","臺南市六甲區","家庭醫學科",0
"222","臺南市六甲區","復健科",0
"223","臺南市六甲區","急診學學科",0
"224","臺南市六甲區","放射線核醫科.停發.",0
"225","臺南市六甲區","放射腫瘤科",0
